Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-GN-A8LL-06A-21R-A37K-07	0.0704868868783248	0	0.0584517207889498	0.184855295648122	0	0	0	0.0700661352792612	0.144996023235884	0	0.020807916370536	0.0080529199625071	0	0.290162118930814	0.00842302269117069	0.135068160497323	0	0	0.00862979971710729	0	0	0	0	0.272086650691255	0.981833996287562
TCGA-EE-A3JI-06A-11R-A21D-07	0.0161376934377037	0	0.0958887157879613	0.0118989025078038	0	0.171974655775913	0	0.0922387243790299	0.00225920389184825	0	0.0742883543410423	0	0.159586255990715	0	0.0371944801643282	0.307604610799125	0	0	0.0309284029245292	0	0	0	0	0.294008696873963	0.961548046823053
TCGA-EE-A20I-06A-11R-A18U-07	0.0627315101057365	0	0.00886683318507473	0.103265257056485	0	0	0.0156230512201319	0.0964811380738398	0.0806331922045726	0	0.0672426298724764	0.0107087123961055	0	0.307444265934339	0.0527478537796167	0.176372552144438	0	0	0.0136074090072589	0	0.004275595019925	0	0	0.615192627298398	0.798466037785614
TCGA-D3-A1Q6-06A-11R-A18T-07	0.0736772994088445	0	0.0181970439075855	0.0357926807551041	0	0.246415428329438	0.0123873947136939	0.046172137167457	0.00521096848054843	0	0.0557748360472572	0	0	0.16969229202919	0.0236318292349909	0.192652842249222	0	0.0428751002259306	0	0.0266044357897084	0.0107724770568807	0.0401432346041489	0	0.159909352711602	1.02357948782804
TCGA-EB-A5VV-06A-11R-A32P-07	0.172957109458851	0.195131418289177	0	0.0984538757717911	0.0680622820937789	0.172248452940735	0	0.0435387386236167	0.0460545487011467	0	0.0110164844856152	0	0.0177248510148283	0.0227803010761815	0.0285378369853944	0.101475108576455	0	0.0197032185626966	0.00231577341973227	0	0	0	0	0.844780216481943	0.646025763259025
TCGA-D3-A51N-06A-11R-A266-07	0.0113260886960505	0.070436471892541	0.0422812712886673	0.0306103303994386	0	0.0224724545438119	0	0.0774609803801886	0.0648421559841873	0.0236868970316445	0.0114680196515269	0	0	0.365586374120036	0.109950201574667	0.150447576291039	0	0	0.0159517705692041	0.00347940757699672	0	0	0	0.708960381656215	0.730399540914002
TCGA-D9-A6EC-06A-11R-A311-07	0.035400869868149	0	0.0583426017393635	0.0237610720483431	0	0.0288885335132026	0.00382799532294365	0.0417046026295565	0.0129262122432848	0	0.0317184134557966	0	0	0.540991001200959	0.056262699433458	0.147007327206003	0	0	0.0191686713389406	0	0	0	0	0.622755909337898	0.782326275305114
TCGA-EB-A42Z-01A-12R-A24X-07	0.000653387006833906	0.0127110924895517	0.0142035534857265	0.0495749639974515	0	0	0.0108783655831767	0.118270081045076	0.0220290137856604	0.0220263369854028	0.00947580027774465	0.0127021942299708	0	0.414114477415887	0.0338178027455943	0.163763253186593	0	0	0.11577967776533	0	0	0	0	0.657359888510628	0.763208443570916
TCGA-WE-AAA3-06A-11R-A38C-07	0.0417842642670534	0	0.0222303410399701	0.262081704751895	0	0	0.0042446210713937	0.0710822482231996	0.0913704561833082	0	0.0532420937412015	0.0108550257684263	0.0341527802674171	0.0982444032262078	0.0579213049225545	0.237058331908477	0.0106215829015482	0	0	0.00511084172734714	0	0	0	0.452394016897346	0.890952781867353
TCGA-D3-A3CC-06A-11R-A18S-07	0.111126618636276	0	0.0563174383816358	0.0235297362833676	0	0.0914732280290348	0	0.0635373229015923	0.0363115862511322	0	0.00179743224789101	0.00740277037846076	0.0369308407010414	0.0918140794227165	0.0323604283333813	0.36351658061694	0.0007415064832464	0	0.0831404313332832	0	0	0	0	0.29940104819097	0.961346048995321
